Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
commons-io;RandomForest;0;model6;NONE;0,9438603260345326;0,8647347528725511;0,9464150172603454;[0,96818977 0,76127974];0,9438603260345326;0,8505957836846929;0,9548296679603278;0,9027127258225104;"[8857; 419; 163; 928]"
commons-io;DT;0;model6;NONE;0,9307417767917431;0,8376074100616085;0,9347039317386114;[0,96058843 0,71462639];0,9307417767917431;0,8240146654445463;0,9432945235015092;0,8836545944730277;"[8750; 526; 192; 899]"
commons-io;LogistRegression;0;model6;NONE;0,6720362689302595;0,5470986653109017;0,7349066149205332;[0,78497344 0,30922389];0,6720362689302595;0,6975252062328139;0,6690383786114704;0,6832817924221422;"[6206; 3070; 330; 761]"
commons-io;MLP;0;model6;NONE;0,9212887045432623;0,724936438793172;0,9084212310256744;[0,95733556 0,49253731];0,9212887045432623;0,3629697525206233;0,9869555843035791;0,6749626684121012;"[9155; 121; 695; 396]"
commons-io;RandomForest;0;model7;NONE;0,957943474486351;0,884001010112416;0,9571215937659929;[0,97661446 0,79138756];0,957943474486351;0,7580201649862511;0,9814575247951703;0,8697388448907106;"[9104; 172; 264; 827]"
commons-io;DT;0;model7;NONE;0,9127037715829073;0,7736124958506074;0,9137136639368584;[0,95106256 0,59616243];0,9127037715829073;0,6122823098075161;0,9480379473911169;0,7801601285993165;"[8794; 482; 423; 668]"
commons-io;LogistRegression;0;model7;NONE;0,5606250602874505;0,470247617868083;0,6430031914791348;[0,68905727 0,25143796];0,5606250602874505;0,7011915673693859;0,5440922811556705;0,6226419242625282;"[5047; 4229; 326; 765]"
commons-io;MLP;0;model7;NONE;0,8957268255040031;0,49199168182410574;0,8495519665049066;[0,94487225 0,03911111];0,8957268255040031;0,02016498625114574;0,9987063389391979;0,5094356625951718;"[9264; 12; 1069; 22]"
commons-io;DT;0;model6;ROS;0,924278962091251;0,8209176562457055;0,9283341479097216;[0,9569698  0,68486552];0,924278962091251;0,7818515123739689;0,9410306166451057;0,8614410645095373;"[8729; 547; 238; 853]"
commons-io;RandomForest;0;model6;ROS;0,9346001736278576;0,848416060660956;0,9386574530920793;[0,96271447 0,73411765];0,9346001736278576;0,8579285059578369;0,9436179387667097;0,9007732223622732;"[8753; 523; 155; 936]"
