Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
pdfbox,RandomForest,3,model7,ADA,"0,882","0,775","0,895","[0,92996338 0,62080783]","0,882","0,852","0,886","0,869",[10284; 1328; 221; 1268]
wro4j,LogistRegression,3,model7,ROS,"0,664","0,568","0,722","[0,77123183 0,36518047]","0,664","0,801","0,645","0,723",[2520; 1388; 107; 430]
wro4j,MLP,3,model7,ROS,"0,902","0,815","0,911","[0,94210245 0,68866571]","0,902","0,894","0,904","0,899",[3531; 377; 57; 480]
wro4j,RandomForest,3,model7,ADA,"0,933","0,865","0,938","[0,96094675 0,7688716 ]","0,933","0,920","0,935","0,927",[3654; 254; 43; 494]
wro4j,DT,3,model7,ADA,"0,923","0,828","0,925","[0,95570192 0,70095902]","0,923","0,749","0,947","0,848",[3700; 208; 135; 402]
commons-bcel,DT,0,model6,ROS,"0,8724458204","0,5972276029","0,8914121695","[0,93016949 0,26428571]","0,8724458204","0,3936170213","0,9020381328","0,647827577",[1372; 149; 57; 37]
commons-bcel,DT,0,model7,ADA,"0,9250773994","0,7743019663","0,9372993474","[0,95877342 0,58983051]","0,9250773994","0,9255319149","0,9250493097","0,9252906123",[1407; 114; 7; 87]
commons-bcel,LogistRegression,0,model6,SMOTE,"0,9226006192","0,6885726407","0,9271140159","[0,95854063 0,41860465]","0,9226006192","0,4787234043","0,9500328731","0,7143781387",[1445; 76; 49; 45]
commons-bcel,LogistRegression,0,model7,ROS,"0,7479876161","0,5694391222","0,8144282576","[0,84670433 0,29217391]","0,7479876161","0,8936170213","0,7389875082","0,8163022647",[1124; 397; 10; 84]
commons-bcel,MLP,0,model6,ADA,"0,9133126935","0,6006598562","0,9128751108","[0,95400788 0,24731183]","0,9133126935","0,2446808511","0,9546351085","0,5996579798",[1452; 69; 71; 23]
commons-bcel,MLP,0,model7,SMOTE,"0,839628483","0,650520812","0,8776728713","[0,907599 0,39344262]","0,839628483","0,8936170213","0,8362919132","0,8649544672",[1272; 249; 10; 84]
commons-bcel,RandomForest,0,model6,ADA,"0,8631578947","0,6537122255","0,8916731889","[0,92302334 0,38440111]","0,8631578947","0,7340425532","0,8711374096","0,8025899814",[1325; 196; 25; 69]
commons-bcel,RandomForest,0,model7,ADA,"0,9256965944","0,772695285","0,9374748084","[0,95918367 0,5862069 ]","0,9256965944","0,9042553191","0,9270216963","0,9156385077",[1410; 111; 9; 85]
commons-io,DT,0,model6,SMOTE,"0,919455966","0,8213750423","0,9258780833","[0,95373705 0,68901304]","0,919455966","0,8478460128","0,9278783959","0,8878622043",[8607; 669; 166; 925]
commons-io,DT,0,model7,ADA,"0,9313205363","0,8424055006","0,9358650572","[0,96077999 0,72403101]","0,9313205363","0,8560953254","0,9401681759","0,8981317507",[8721; 555; 157; 934]
commons-io,LogistRegression,0,model6,ROS,"0,6690460114","0,545566531","0,7325908735","[0,7824488 0,30868426]","0,6690460114","0,7021081577","0,6651573954","0,6836327765",[6170; 3106; 325; 766]
commons-io,LogistRegression,0,model7,SMOTE,"0,5732613099","0,4778788312","0,6540705686","[0,70104068 0,25471698]","0,5732613099","0,6929422548","0,5591849935","0,6260636242",[5187; 4089; 335; 756]
commons-io,MLP,0,model6,ROS,"0,8129642134","0,6921776976","0,8444163227","[0,88500089 0,49935451]","0,8129642134","0,8863428048","0,8043337646","0,8453382847",[7461; 1815; 124; 967]
commons-io,MLP,0,model7,SMOTE,"0,759718337","0,6061103707","0,8003150671","[0,85208717 0,36013357]","0,759718337","0,6425297892","0,7735015093","0,7080156492",[7175; 2101; 390; 701]
commons-io,RandomForest,0,model6,ADA,"0,9443426256","0,8667015859","0,9470215948","[0,96843372 0,76496945]","0,9443426256","0,8606782768","0,9541828374","0,9074305571",[8851; 425; 152; 939]
commons-io,RandomForest,0,model7,ADA,"0,9608372721","0,904344342","0,9623830809","[0,97785535 0,83083333]","0,9608372721","0,9138405133","0,9663648124","0,9401026629",[8964; 312; 94; 997]
junit4,DT,0,model6,ADA,"0,8381309971","0,5590072832","0,8770648764","[0,9098513 0,20816327]","0,8381309971","0,4553571429","0,856892779","0,6561249609",[1958; 327; 61; 51]
junit4,DT,0,model7,ADA,"0,868168544","0,5980373427","0,8967625847","[0,92755617 0,26851852]","0,868168544","0,5178571429","0,8853391685","0,7015981557",[2023; 262; 54; 58]
junit4,LogistRegression,0,model6,NONE,"0,714226116","0,5004707962","0,7967018612","[0,82723834 0,17370326]","0,714226116","0,6428571429","0,7177242888","0,6802907158",[1640; 645; 40; 72]
junit4,LogistRegression,0,model7,ROS,"0,6962870254","0,4969001259","0,7840225465","[0,81362007 0,18018018]","0,6962870254","0,7142857143","0,695404814","0,7048452641",[1589; 696; 32; 80]
junit4,MLP,0,model6,ROS,"0,7350855236","0,5123380075","0,8111221757","[0,84192183 0,18275418]","0,7350855236","0,6339285714","0,7400437637","0,6869861676",[1691; 594; 41; 71]
junit4,MLP,0,model7,ROS,"0,8126825198","0,5777189234","0,8632759117","[0,89271207 0,26272578]","0,8126825198","0,7142857143","0,8175054705","0,7658955924",[1868; 417; 32; 80]
junit4,RandomForest,0,model6,ADA,"0,9211514393","0,5871282716","0,9237852027","[0,95848891 0,21576763]","0,9211514393","0,2321428571","0,9549234136","0,5935331354",[2182; 103; 86; 26]
junit4,RandomForest,0,model7,SMOTE,"0,9386733417","0,7145117656","0,9438446775","[0,96748507 0,46153846]","0,9386733417","0,5625","0,9571115974","0,7598057987",[2187; 98; 49; 63]
pdfbox,DT,0,model6,ROS,"0,7075191164","0,5486822123","0,7553085704","[0,81642448 0,28093995]","0,7075191164","0,5006203474","0,7341751918","0,6173977696",[9186; 3326; 805; 807]
pdfbox,DT,0,model7,ADA,"0,7465307278","0,6069906711","0,7877162674","[0,84117125 0,37281009]","0,7465307278","0,6600496278","0,7576726343","0,708861131",[9480; 3032; 548; 1064]
pdfbox,LogistRegression,0,model6,ADA,"0,6661710564","0,5441691905","0,7261618465","[0,7799916 0,30834678]","0,6661710564","0,6519851117","0,6679987212","0,6599919164",[8358; 4154; 561; 1051]
pdfbox,LogistRegression,0,model7,NONE,"0,6593033135","0,5292378279","0,7202014315","[0,77668461 0,28179104]","0,6593033135","0,5856079404","0,668797954","0,6272029472",[8368; 4144; 668; 944]
pdfbox,MLP,0,model6,ROS,"0,7003681677","0,5780742611","0,7533772045","[0,80522828 0,35092025]","0,7003681677","0,7096774194","0,699168798","0,7044231087",[8748; 3764; 468; 1144]
pdfbox,MLP,0,model7,SMOTE,"0,694420844","0,5781954578","0,749069036","[0,79960999 0,35678092]","0,694420844","0,7425558313","0,6882193095","0,7153875704",[8611; 3901; 415; 1197]
pdfbox,RandomForest,0,model6,ROS,"0,70865194","0,5515913556","0,7563958023","[0,81697282 0,28620989]","0,70865194","0,5117866005","0,7340153453","0,6229009729",[9184; 3328; 787; 825]
pdfbox,RandomForest,0,model7,ADA,"0,8046587369","0,6649193448","0,8319141232","[0,88130781 0,44853088]","0,8046587369","0,6960297767","0,8186540921","0,7573419344",[10243; 2269; 490; 1122]
wro4j,DT,0,model6,ROS,"0,8220338983","0,5933577168","0,8272624996","[0,89829936 0,28841608]","0,8220338983","0,3096446701","0,8895828686","0,5996137693",[3988; 495; 408; 183]
wro4j,DT,0,model7,SMOTE,"0,7193535672","0,5625234923","0,7634394408","[0,82445759 0,30058939]","0,7193535672","0,5177664975","0,7459290654","0,6318477814",[3344; 1139; 285; 306]
wro4j,LogistRegression,0,model6,SMOTE,"0,6966890028","0,5645631173","0,7485466401","[0,80442242 0,32470382]","0,6966890028","0,6260575296","0,7060004461","0,6660289879",[3165; 1318; 221; 370]
wro4j,LogistRegression,0,model7,ADA,"0,6103665747","0,5001044263","0,6801884723","[0,73487998 0,26532887]","0,6103665747","0,6040609137","0,6111978586","0,6076293861",[2740; 1743; 234; 357]
wro4j,MLP,0,model6,ROS,"0,7359085534","0,58923548","0,7775110742","[0,83469035 0,34378061]","0,7359085534","0,5939086294","0,7546285969","0,6742686132",[3383; 1100; 240; 351]
wro4j,MLP,0,model7,SMOTE,"0,6633819472","0,5486750624","0,7232017221","[0,77620545 0,32114467]","0,6633819472","0,6835871404","0,660718269","0,6721527047",[2962; 1521; 187; 404]
wro4j,RandomForest,0,model6,SMOTE,"0,8334647221","0,6189616509","0,8382539948","[0,90485306 0,33307024]","0,8334647221","0,3570219966","0,896274816","0,6266484063",[4018; 465; 380; 211]
wro4j,RandomForest,0,model7,SMOTE,"0,8267638944","0,653693749","0,8414799229","[0,89851056 0,40887693]","0,8267638944","0,5143824027","0,8679455722","0,6911639874",[3891; 592; 287; 304]
