Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
junit4;MLP;4;model7;SMOTE;0,9457889641819942;0,7962122706648254;0,952718505915558;[0,97080292 0,62162162];0,9457889641819942;0,8598130841121495;0,9504849412965799;0,9051490127043648;"[1862; 97; 15; 92]"
junit4;RandomForest;4;model6;ADA;0,9322362052274927;0,5753464881371857;0,9243220721135577;[0,96464646 0,18604651];0,9322362052274927;0,14953271028037382;0,9749872383869321;0,562259974333653;"[1910; 49; 91; 16]"
junit4;DT;4;model6;ADA;0,8644724104549855;0,5942655145326001;0,8910764108838798;[0,92537313 0,26315789];0,8644724104549855;0,4672897196261682;0,8861664114344053;0,6767280655302867;"[1736; 223; 57; 50]"
junit4;LogistRegression;4;model6;ADA;0,824782187802517;0,568662869429007;0,8666107196976881;[0,90103882 0,23628692];0,8247821878025169;0,5233644859813084;0,8412455334354262;0,6823050097083674;"[1648; 311; 51; 56]"
junit4;MLP;4;model6;ADA;0,9235237173281704;0,6140856126811183;0,9238582450088697;[0,95965271 0,26851852];0,9235237173281704;0,27102803738317754;0,9591628381827463;0,6150954377829618;"[1879; 80; 78; 29]"
junit4;RandomForest;4;model7;ADA;0,9675701839303001;0,862006745043151;0,970199046547855;[0,98270075 0,74131274];0,9675701839303001;0,897196261682243;0,9714139867279225;0,9343051242050828;"[1903; 56; 11; 96]"
junit4;DT;4;model7;ADA;0,9612778315585673;0,8296960329726945;0,9638862813102695;[0,97939207 0,68      ];0,9612778315585673;0,794392523364486;0,9703930576824911;0,8823927905234885;"[1901; 58; 22; 85]"
junit4;LogistRegression;4;model7;ADA;0,8325266214908035;0,6218983260269799;0,8748708313441014;[0,904102   0,33969466];0,8325266214908035;0,8317757009345794;0,8325676365492598;0,8321716687419196;"[1631; 328; 18; 89]"
junit4;MLP;4;model7;ADA;0,9477250726040658;0,7917439789735415;0,9533082884834583;[0,97197717 0,61151079];0,9477250726040658;0,794392523364486;0,9561000510464522;0,8752462872054692;"[1873; 86; 22; 85]"
pdfbox;RandomForest;2;model6;NONE;0,9025660096690218;0,7025713726033227;0,8901581791245377;[0,94646506 0,45867769];0,9025660096690219;0,35760309278350516;0,9736819978138401;0,6656425452986727;"[11580; 313; 997; 555]"
